"taxonTypeCode","taxonID","acceptedTaxonID","scientificName","scientificNameAuthorship","taxonRank","vernacularName","taxonProtocolCategory","nameAccordingToID","nameAccordingToTitle","kingdom","subkingdom","infrakingdom","superdivision","division","subdivision","infradivision","parvdivision","superphylum","phylum","subphylum","infraphylum","superclass","class","subclass","infraclass","superorder","order","suborder","infraorder","section","subsection","superfamily","family","subfamily","tribe","subtribe","genus","subgenus","species","subspecies","variety","subvariety","form","subform","race","stirp","morph","abberation","unspecified","speciesGroup","specificEpithet","infraspecificEpithet"
"BEETLE","ACUREC","PHIREC","Acupalpus rectangulus","Chaudoir","species","","target","doi: 10.3897/zookeys.245.3416","Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","","","","Acupalpus","","","","","","","","","","","","","","rectangulus",""
"BEETLE","ACUSP","ACUSP","Acupalpus (Acupalpus) sp.","Latreille","subgenus","","target","http://www.itis.gov (accessed 10/07/2014)","The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Harpalini","","Acupalpus","Acupalpus","","","","","","","","","","","","","sp.",""
"BEETLE","ACUSP1","ACUSP1","Acupalpus (Tachistodes) sp.","Casey","subgenus","","target","http://www.itis.gov (accessed 10/07/2014)","The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Harpalini","","Acupalpus","Tachistodes","","","","","","","","","","","","","sp.",""
"BEETLE","ACUSP2","ACUSP2","Acupalpus (Anthracus) sp.","Motschulsky","subgenus","","target","http://www.itis.gov (accessed 10/07/2014)","The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Harpalini","","Acupalpus","Anthracus","","","","","","","","","","","","","sp.",""
"BEETLE","ACUSP3","ACUSP3","Acupalpus sp.","Latreille","genus","","target","http://www.itis.gov (accessed 10/07/2014)","The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Harpalini","","Acupalpus","","","","","","","","","","","","","","sp.",""
"BEETLE","ACUTEN","ACUTEN","Acupalpus tener","LeConte","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Harpalini","","Acupalpus","Anthracus","","","","","","","","","","","","","tener",""
"BEETLE","ACUTES","ACUTES","Acupalpus testaceus","Dejean","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Harpalini","","Acupalpus","Tachistodes","","","","","","","","","","","","","testaceus",""
"BEETLE","AEPOPA","ANAOPA","Aephnidius opaculus","Zimmerman","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","","","","Aephnidius","","","","","","","","","","","","","","opaculus",""
"BEETLE","AGOAER","AGOAER","Agonum aeruginosum","Dejean","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Platynini","","Agonum","Olisares","","","","","","","","","","","","","aeruginosum",""
"BEETLE","AGOAFF","AGOAFF","Agonum affine","Kirby","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Platynini","","Agonum","Olisares","","","","","","","","","","","","melanarium","affine",""
