taxonID,acceptedTaxonID,scientificName,scientificNameAuthorship,taxonRank,nameAccordingToID,nameAccordingToTitle,order,family,subfamily,tribe,genus,subgenus,speciesGroup,specificEpithet,infraspecificEpithet
TACKIR,TACKIR,Tachyta kirbyi,Casey,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachyta,Tachyta,NA,kirbyi,NA
TACLAE,POLLAE,Tachys laevis,NA,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Tachys,NA,NA,laevis,NA
TACLIT,TACLIT,Tachys litoralis,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Tachys,NA,litoralis,NA
TACLUT,ELALUT,Tachys luteus,Andrewes,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,NA,NA,Tachys,NA,NA,luteus,NA
TACMIS,TACMIS,Tachys misellus,LaFerte-Senectere,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Tachys,NA,misellus,NA
TACMOR,TACMOR,Tachys mordax,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Tachys,NA,mordax,NA
TACNAN,TACINO,Tachyta nana inornata,Say,subspecies,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Tachyta,NA,NA,nana,inornata
TACNAN1,TACKIR,Tachyta nana kirbyi,Casey,subspecies,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Tachyta,NA,NA,nana,kirbyi
TACNAN2,TACNAN2,Tachyta nana,Gyllenhal,species,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachyta,Tachyta,NA,nana,NA
TACNAN3,TACNAN3,Tachyta nana nana,Gyllenhal,subspecies,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachyta,Tachyta,NA,nana,nana
