"site","thresh","trapAvg","t.thresh","y.thresh","field_domain_id","field_site_name","field_site_type","field_site_subtype","field_colocated_site","field_site_host","field_site_url","field_nonneon_research_allowed","field_latitude","field_longitude","field_geodetic_datum","field_utm_northing","field_utm_easting","field_utm_zone","field_site_county","field_site_state","field_site_country","field_mean_evelation_m","field_minimum_elevation_m","field_maximum_elevation_m","field_mean_annual_temperature_C","field_mean_annual_precipitation_mm","field_dominant_wind_direction","field_mean_canopy_height_m","field_dominant_nlcd_classes","field_dominant_plant_species","field_usgs_huc","field_watership_name","field_watership_size_km2","field_lake_depth_mean_m","field_lake_depth_max_m","field_tower_height_m","field_megapit_soil_family","field_soil_subgroup","field_avg_number_of_green_days","field_avg_green_increase_doy","field_avg_green_max_doy","field_avg_green_decrease_doy","field_avg_green_min_doy","field_phenocams","field_number_tower_levels","domainName","turnover","years"
"ORNL",113.760156651259,398.25,6259.29671199649,15.7170036710521,"D07","Oak Ridge NEON","Core Terrestrial","","WALK","Department of Energy","https://www.ornl.gov/division/esd","Very Limited",35.964128,-84.282588,"WGS84",3983383.09,745052.4354,"16N","Anderson","TN","US",344,230,356,"14.4°C",1340,"WNW",28,"Deciduous Forest|Evergreen Forest|Pasture/Hay",NA,"","",NA,NA,NA,39,"Fine - kaolinitic - thermic Typic Paleudults","Typic Paleudults",225,90,140,210,"315","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D07.ORNL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D07.ORNL.DP1.00042/",6,"Central Plains",0.48438567601689,7
"OSBS",81.3590470622625,349.875,6451.61424603018,18.4397691919405,"D03","Ordway-Swisher Biological Station NEON","Core Terrestrial","","SUGG|BARC","University of Florida Foundation","https://ordway-swisher.ufl.edu/ResearchUse.aspx","Yes",29.689282,-81.993431,"WGS84",3284767.49,403886.418,"17N","Putnam","FL","US",46,22,49,"20.9°C",1302,"NE",23,"Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands",NA,"","",NA,NA,NA,35,"Hyperthermic - uncoated Typic Quartzipsamments","Typic Quartzipsamments",245,70,150,190,"315","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D03.OSBS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D03.OSBS.DP1.00042/",6,"Southeast",0.664452205786037,7
"PUUM",14.3980420594634,344.75,2250.71658474874,6.52854701885059,"D20","Pu'u Maka'ala Natural Area Reserve NEON","Core Terrestrial","","","Hawaii Forest Department of Land and Natural Resources","https://dlnr.hawaii.gov/ecosystems/nars/permits/","Yes",19.55309,-155.31731,"WGS84",2163673.63,256868.7191,"5N","Hawaii","HI","US",1685,1034,1877,"12.7°C",2657,"",20,"Evergreen Forest",NA,"","",NA,NA,NA,32,"Medial-skeletal - amorphic - isomesic Typic Hapludands","Typic Hapludands",365,NA,NA,NA,"","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D20.PUUM.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D20.PUUM.DP1.00042/",6,"Pacific Tropical",0.294871794871795,3
"RMNP",43.2646615008157,204.333333333333,2685.79758400894,13.1441969853619,"D10","Rocky Mountains NEON","Gradient Terrestrial","","","Roosevelt National Forest|National Park Service","https://www.fs.usda.gov/wps/portal/fsinternet/cs/main/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zijQwgwNHCwN_DI8zPwBcqYKBfkO2oCADIwpjI/?pname=Arapaho/&ss=110210&pnavid=null&navid=091000000000000&ttype=main&cid=null|https://www.nps.gov/romo/index.htm","Yes",40.275903,-105.54596,"WGS84",4458524.2,453588.4118,"13N","Larimer","CO","US",2742,2454,3042,"2.9°C",731,"",19,"Evergreen Forest",NA,"","",NA,NA,NA,25,"Loamy-skeletal - mixed - superactive Ustic Haplocryolls","Ustic Haplocryolls",165,120,180,210,"285","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D10.RMNP.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D10.RMNP.DP1.00042/",5,"Southern Plains",0.635814760686883,5
"SCBI",120.675995059986,354.25,9942.48280617267,28.0662887965354,"D02","Smithsonian Conservation Biology Institute NEON","Core Terrestrial","","POSE","Smithsonian Institution","https://www.si.edu/unit/conservation-biology-institute","Yes",38.892925,-78.139494,"WGS84",4308784.08,748090.6473,"17N","Warren","VA","US",352,251,571,"11.6°C",1126,"SSE",35,"Deciduous Forest|Evergreen Forest|Pasture/Hay",NA,"","",NA,NA,NA,52,"Loamy-skeletal - mixed - active - mesic Ultic Hapludalfs","Ultic Hapludalfs",245,85,150,220,"320","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D02.SCBI.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D02.SCBI.DP1.00042/",6,"Mid-Atlantic",0.411529648090841,7
"SERC",103.299132107106,362.125,6165.23396987895,17.0251542143706,"D02","Smithsonian Environmental Research Center NEON","Gradient Terrestrial","","","Smithsonian Institution","https://serc.si.edu/opportunities","Yes",38.890131,-76.560014,"WGS84",4305735.3,364703.6624,"18N","Anne Arundel","MD","US",33,0,43,"13.6°C",1075,"NNW",38,"Cultivated Crops|Deciduous Forest",NA,"","",NA,NA,NA,62,"Fine-loamy - mixed - active - mesic Aquic Hapludults","Aquic Hapludults",245,80,155,220,"325","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D02.SERC.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D02.SERC.DP1.00042/",6,"Mid-Atlantic",0.418489548723112,7
"SJER",51.2876075731497,332,18377.6958661436,55.3545056209143,"D17","San Joaquin Experimental Range NEON","Core Terrestrial","","","US Forest Service","https://www.fs.fed.us/psw/ef/san_joaquin/","Yes",37.10878,-119.73228,"WGS84",4110433.94,257213.9752,"11N","Madera","CA","US",400,252,502,"16.4°C",540,"NW",21,"Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub",NA,"","",NA,NA,NA,39,"Mixed - thermic Psammentic Haploxerolls","Psammentic Haploxerolls",250,270,65,95,"155","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D17.SJER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D17.SJER.DP1.00042/",6,"California",0.471392496392496,6
"SOAP",52.1738893925657,275.75,8643.78942170864,31.3464711576016,"D17","Soaproot Saddle NEON","Gradient Terrestrial","","BIGC","US Forest Service","https://www.fs.usda.gov/sierra/","Yes",37.03337,-119.26219,"WGS84",4100967.25,298792.741,"11N","Fresno","CA","US",1210,1044,1373,"13.4°C",900,"NW",32,"Evergreen Forest|Shrub/Scrub",NA,"","",NA,NA,NA,52,"Fine-loamy - mixed - semiactive - mesic Ultic Haploxeralfs","Ultic Haploxeralfs",200,90,155,185,"290","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D17.SOAP.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D17.SOAP.DP1.00042/",6,"California",0.456543456543457,3
"SRER",61.1887558563248,384.2,6776.91473963157,17.6390284737938,"D14","Santa Rita Experimental Range NEON","Core Terrestrial","","","University of Arizona","https://taac.arizona.edu/sites/taac.arizona.edu/files/SRER%20Range%20Use%20Agreement%202014%20revised%5B1%5D.pdf","Yes",31.91068,-110.83549,"WGS84",3530547.12,515553.9031,"12N","Pima","AZ","US",997,897,1461,"19.3°C",346,"ESE",2,"Shrub/Scrub",NA,"","",NA,NA,NA,8,"Coarse-loamy - mixed - calcareous - thermic Typic Torrifluvents","Typic Torrifluvents",247,87,139,189,"219|334","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D14.SRER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D14.SRER.DP1.00042/",4,"Northern Rockies",0.680142773892774,4
"STEI",53.0953940634596,244.25,3039.35294812857,12.4436149360433,"D05","Steigerwaldt-Chequamegon NEON","Gradient Terrestrial","","","Private|Chequamegon Nicolet National Forest|Steigerwaldt Land Services","https://www.fs.usda.gov/cnnf/|https://steigerwaldt.com/","Very Limited|Yes",45.50894,-89.58637,"WGS84",5042743.85,297968.6864,"16N","Lincoln","WI","US",476,466,536,"4.8°C",797,"WSW",20,"Deciduous Forest|Mixed Forest|Woody Wetlands",NA,"","",NA,NA,NA,22,"Coarse-loamy - mixed - superactive - frigid Alfic Epiaquods","Alfic Epiaquods",170,120,165,215,"290","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D05.STEI.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D05.STEI.DP1.00042/",6,"Great Lakes",0.385601436909029,7
"STER",78.7444906953966,255.25,3020.26019282481,11.832557072771,"D10","North Sterling NEON","Gradient Terrestrial","","","Private","","Very Limited",40.461894,-103.02929,"WGS84",4480891.1,667084.9559,"13N","Logan","CO","US",1365,1352,1371,"9.7°C",433,"NW",NA,"Cultivated Crops",NA,"","",NA,NA,NA,8,"Fine-silty - mixed - superactive - mesic Pachic Argiustolls","Pachic Argiustolls",180,90,150,190,"270","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D10.STER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D10.STER.DP1.00042/",4,"Southern Plains",0.395277835001541,7
